iter	Passed	Remaining
859	8827	6569
860	8829	6553
861	8836	6540
862	8845	6528
863	8853	6517
864	8861	6505
865	8869	6493
866	8879	6482
867	8888	6471
868	8896	6459
869	8902	6446
870	8910	6435
871	8916	6421
872	8924	6409
873	8931	6396
874	8938	6384
875	8948	6374
876	8957	6362
877	8966	6351
878	8975	6340
879	8985	6330
880	8992	6318
881	9001	6307
882	9011	6297
883	9019	6285
884	9023	6270
885	9032	6259
886	9039	6247
887	9048	6236
888	9057	6225
889	9064	6213
890	9072	6201
891	9080	6189
892	9091	6179
893	9099	6168
894	9106	6155
895	9114	6144
896	9123	6132
897	9131	6121
898	9138	6109
899	9147	6098
900	9158	6089
901	9168	6078
902	9176	6066
903	9185	6055
904	9193	6044
905	9201	6032
906	9209	6021
907	9216	6008
908	9221	5995
909	9229	5984
910	9239	5973
911	9248	5962
912	9256	5951
913	9262	5938
914	9272	5928
915	9279	5916
916	9286	5904
917	9294	5892
918	9302	5881
919	9312	5870
920	9321	5859
921	9329	5848
922	9337	5837
923	9347	5827
924	9356	5816
925	9365	5805
926	9374	5794
927	9384	5784
928	9394	5774
929	9403	5763
930	9413	5753
931	9423	5742
932	9430	5731
933	9438	5719
934	9446	5708
935	9457	5698
936	9466	5687
937	9476	5677
938	9484	5666
939	9493	5655
940	9501	5644
941	9509	5632
942	9518	5622
943	9526	5610
944	9534	5599
945	9537	5585
946	9545	5573
947	9553	5562
948	9563	5552
949	9570	5540
950	9578	5529
951	9588	5519
952	9595	5507
953	9604	5497
954	9611	5485
955	9619	5473
956	9625	5461
957	9633	5450
958	9639	5438
959	9648	5427
960	9658	5417
961	9666	5405
962	9675	5395
963	9685	5385
964	9692	5373
965	9703	5363
966	9711	5353
967	9722	5343
968	9729	5331
969	9737	5320
970	9740	5306
971	9749	5296
972	9756	5284
973	9764	5273
974	9775	5263
975	9784	5253
976	9793	5242
977	9801	5231
978	9814	5222
979	9821	5211
980	9828	5199
981	9835	5188
982	9843	5177
983	9851	5165
984	9859	5155
985	9866	5143
986	9874	5132
987	9885	5122
988	9896	5113
989	9902	5101
990	9909	5089
991	9917	5078
992	9924	5067
993	9932	5056
994	9939	5044
995	9947	5033
996	9955	5022
997	9965	5012
998	9971	5000
999	9980	4990
1000	9987	4978
1001	9996	4968
1002	10006	4958
1003	10015	4947
1004	10022	4936
1005	10033	4927
1006	10041	4916
1007	10048	4904
1008	10057	4894
1009	10067	4884
1010	10077	4874
1011	10086	4863
1012	10095	4853
1013	10103	4842
1014	10111	4831
1015	10119	4820
1016	10127	4809
1017	10136	4799
1018	10144	4788
1019	10152	4777
1020	10161	4767
1021	10170	4756
1022	10178	4746
1023	10185	4734
1024	10193	4723
1025	10203	4713
1026	10210	4702
1027	10218	4691
1028	10226	4681
1029	10237	4671
1030	10244	4660
1031	10251	4649
1032	10259	4638
1033	10267	4627
1034	10270	4614
1035	10276	4602
1036	10284	4591
1037	10292	4580
1038	10303	4571
1039	10305	4558
1040	10313	4547
1041	10324	4538
1042	10333	4527
1043	10343	4517
1044	10353	4507
1045	10359	4496
1046	10366	4485
1047	10373	4474
1048	10381	4463
1049	10389	4452
1050	10397	4442
1051	10408	4432
1052	10414	4420
1053	10420	4409
1054	10428	4398
1055	10437	4388
1056	10445	4377
1057	10451	4366
1058	10460	4356
1059	10471	4346
1060	10480	4336
1061	10488	4325
1062	10495	4314
1063	10506	4305
1064	10513	4294
1065	10524	4284
1066	10534	4274
1067	10542	4264
1068	10549	4253
1069	10553	4241
1070	10560	4230
1071	10569	4219
1072	10579	4210
1073	10588	4199
1074	10597	4189
1075	10607	4179
1076	10615	4169
1077	10624	4159
1078	10634	4149
1079	10643	4139
1080	10652	4129
1081	10659	4118
1082	10668	4107
1083	10676	4097
1084	10686	4087
1085	10695	4077
1086	10704	4066
1087	10711	4056
1088	10719	4045
1089	10729	4036
1090	10737	4025
1091	10745	4014
1092	10749	4002
1093	10755	3991
1094	10763	3981
1095	10772	3970
1096	10781	3960
1097	10789	3950
1098	10799	3940
1099	10809	3930
1100	10819	3920
1101	10829	3911
1102	10834	3899
1103	10838	3887
1104	10845	3876
1105	10854	3866
1106	10861	3855
1107	10869	3845
1108	10879	3835
1109	10888	3825
1110	10896	3815
1111	10902	3804
1112	10912	3794
1113	10919	3783
1114	10925	3772
1115	10935	3762
1116	10944	3752
1117	10954	3743
1118	10962	3732
1119	10966	3720
1120	10975	3710
1121	10984	3700
1122	10992	3690
1123	11001	3680
1124	11009	3669
1125	11015	3658
1126	11026	3649
1127	11034	3638
1128	11042	3628
1129	11049	3617
1130	11058	3608
1131	11066	3597
1132	11077	3588
1133	11086	3578
1134	11094	3567
1135	11103	3557
1136	11106	3545
1137	11114	3535
1138	11124	3525
1139	11131	3515
1140	11140	3505
1141	11149	3495
1142	11157	3484
1143	11166	3474
1144	11174	3464
1145	11183	3454
1146	11190	3443
1147	11198	3433
1148	11207	3423
1149	11214	3413
1150	11220	3402
1151	11229	3392
1152	11240	3382
1153	11246	3372
1154	11255	3362
1155	11266	3352
1156	11275	3342
1157	11284	3332
1158	11295	3323
1159	11304	3313
1160	11315	3304
1161	11324	3293
1162	11331	3283
1163	11340	3273
1164	11349	3263
1165	11353	3252
1166	11360	3241
1167	11369	3231
1168	11378	3221
1169	11387	3211
1170	11397	3202
1171	11407	3192
1172	11416	3182
1173	11425	3172
1174	11433	3162
1175	11438	3151
1176	11445	3141
1177	11454	3131
1178	11459	3120
1179	11468	3110
1180	11477	3100
1181	11484	3089
1182	11494	3080
1183	11503	3070
1184	11511	3060
1185	11518	3049
1186	11527	3039
1187	11535	3029
1188	11543	3019
1189	11554	3010
1190	11563	3000
1191	11572	2990
1192	11582	2980
1193	11592	2970
1194	11604	2961
1195	11613	2951
1196	11619	2941
1197	11629	2931
1198	11637	2921
1199	11643	2910
1200	11651	2900
1201	11659	2890
1202	11670	2881
1203	11677	2870
1204	11684	2860
1205	11694	2850
1206	11705	2841
1207	11713	2831
1208	11722	2821
1209	11731	2811
1210	11741	2802
1211	11750	2792
1212	11760	2782
1213	11772	2773
1214	11781	2763
1215	11790	2753
1216	11801	2744
1217	11814	2735
1218	11822	2725
1219	11831	2715
1220	11840	2705
1221	11850	2695
1222	11857	2685
1223	11869	2676
1224	11879	2666
1225	11888	2657
1226	11897	2647
1227	11906	2637
1228	11915	2627
1229	11924	2617
1230	11932	2607
1231	11941	2597
1232	11949	2587
1233	11959	2577
1234	11968	2568
1235	11973	2557
1236	11982	2547
1237	11991	2537
1238	12000	2527
1239	12007	2517
1240	12014	2507
1241	12022	2497
1242	12029	2487
1243	12040	2477
1244	12050	2468
1245	12060	2458
1246	12070	2448
1247	12073	2437
1248	12082	2428
1249	12091	2418
1250	12097	2407
1251	12106	2398
1252	12116	2388
1253	12126	2378
1254	12133	2368
1255	12140	2358
1256	12148	2348
1257	12161	2339
1258	12171	2329
1259	12178	2319
1260	12190	2310
1261	12201	2301
1262	12210	2291
1263	12217	2281
1264	12227	2271
1265	12235	2261
1266	12245	2251
1267	12254	2242
1268	12263	2232
1269	12266	2221
1270	12274	2211
1271	12282	2201
1272	12291	2191
1273	12301	2182
1274	12309	2172
1275	12318	2162
1276	12328	2152
1277	12337	2143
1278	12346	2133
1279	12349	2122
1280	12357	2112
1281	12367	2103
1282	12374	2092
1283	12377	2082
1284	12386	2072
1285	12394	2062
1286	12403	2052
1287	12410	2042
1288	12417	2032
1289	12427	2023
1290	12437	2013
1291	12446	2003
1292	12453	1993
1293	12461	1983
1294	12470	1974
1295	12472	1963
1296	12480	1953
1297	12488	1943
1298	12494	1933
1299	12505	1923
1300	12513	1914
1301	12525	1904
1302	12538	1895
1303	12547	1885
1304	12558	1876
1305	12566	1866
1306	12577	1857
1307	12584	1847
1308	12593	1837
1309	12604	1828
1310	12613	1818
1311	12622	1808
1312	12631	1799
1313	12637	1788
1314	12646	1779
